,action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,naics_description,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
254538,2019-02-05 00:00:00,2019,ADD WORK TO CLIN 0001 AND EXTEND THE PERIOD OF PERFORMANCE.,DOCAB133C18BA0018,1305M318FNCNR0085,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_1305M318FNCNR0085_1330_DOCAB133C18BA0018_1330,45377.6,2021-01-22 17:58:43,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,SEATTLE,7.0,USA,UNITED STATES,KING,WASHINGTON,WA,981157164,2019-06-30 00:00:00,2019-06-30 00:00:00,2019-01-01 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2019,98115,29201
254792,2020-09-17 00:00:00,2020,"AWARD OF SOLICITATION 68HE0520R0010,FOR CORRECTIVE ACTION SUPPORT AT AK STEEL-MANSFIELD, AK-STEEL MIDDLETOWN, AK-ZANESVILLE, REFINED METALS, AMERICAN METALS, US GREAT LAKES.",68HERH19D0021,68HE0520F0104,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0520F0104_6800_68HERH19D0021_6800,51000.0,2020-09-17 17:24:45,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281535,2023-12-05 00:00:00,2023-12-05 00:00:00,2020-09-17 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
255326,2019-09-19 00:00:00,2019,NR-ARD-148 GPMP-OPTION TASK 2 EQUIPMENT,INP16PC00320,140P2119F0176,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2119F0176_1443_INP16PC00320_1443,498733.0,2019-09-19 12:58:28,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,DENVER,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802280005,2020-07-31 00:00:00,2020-07-31 00:00:00,2019-09-19 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2019,80228,80525
255460,2020-01-14 00:00:00,2020,NEW TASK ORDER FOR SUPERFUND  ENFORCEMENT  SUPPORT SERVICES (SESS) EPA REGIONS 7-10 SITE NAME: OGALLALA.,EPS91601,68HE0720F0041,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0720F0041_6800_EPS91601_6800,56911.69,2020-01-14 15:04:02,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LENEXA,3.0,USA,UNITED STATES,JOHNSON,KANSAS,KS,662191161,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-01-14 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,66219,80228
256616,2018-08-30 00:00:00,2018,IGF::OT::IGF - WEST VALLEY DEMONSTRATION PROJECT DEVELOPMENT OF A SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENT SERVICES,DEEM0004837,DEEM0004837,DEFINITIVE CONTRACT,D,89,DEPARTMENT OF ENERGY (DOE),893033,EM-ENVIRONMENTAL MGMT CON BUS CTR,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_DEEM0004837_8900_-NONE-_-NONE-,1000000.0,2018-08-30 12:20:34,541620,ENVIRONMENTAL CONSULTING SERVICES,1,8900,DEPARTMENT OF ENERGY (DOE),VIENNA,10.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,221821523,2022-04-30 00:00:00,2022-04-30 00:00:00,2018-08-30 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2018,22182,22201
257043,2019-05-30 00:00:00,2019,IGF::OT::IGF PRP SEARCH AND ENFORCEMENT SUPPORT GLENDALE CHROMIUM OPERABLE UNIT (SFV-GCOU)SUPERFUND SITE OPTION YEAR 3,EPS91601,68HE0919F0056,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0919F0056_6800_EPS91601_6800,20000.0,2021-01-24 21:41:59,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2020-05-31 00:00:00,2020-05-31 00:00:00,2019-06-01 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,94105,80228
259093,2020-05-29 00:00:00,2020,"LITIGATION SUPPORT SERVICES FOR THE URAVAN SUPERFUND SITE UNDER THE EXISTING REGION 7, 8, 9&10 ENFORCEMENT SUPPORT SERVICES CONTRACT (EP-S9-16-01).",EPS91601,68HE0819F0032,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE08,REGION 8 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0819F0032_6800_EPS91601_6800,-1060.3,2020-05-29 11:05:24,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2020-05-22 00:00:00,2020-06-28 00:00:00,2019-04-04 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
260864,2018-02-21 00:00:00,2018,IGF::CL::IGF QA SUPPORT FOR REMEDIATION OF DDTR AND MERCURY CONTAMINATED SEDIMENTS,EPC13022,0081,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0081_6800_EPC13022_6800,1383.58,2018-02-21 16:41:17,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LOS ALAMOS,3.0,USA,UNITED STATES,LOS ALAMOS,NEW MEXICO,NM,875443000,2017-10-06 00:00:00,2017-10-06 00:00:00,2018-02-21 00:00:00,LOS ALAMOS,623278447,NEPTUNE AND COMPANY INC,875443000,2018,87544,87544
262902,2020-04-16 00:00:00,2020,TECHNICAL SUPPORT FOR DEVELOPING AND APPROVING WATER QUALITY STANDARDS AND CRITERIA,EPC16017,EPC16017,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC16017_6800_-NONE-_-NONE-,75000.0,2020-04-16 16:03:51,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2021-07-31 00:00:00,2021-07-31 00:00:00,2017-04-01 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2020,02563,02563
263539,2020-03-03 00:00:00,2020,SUPPORT AND MAINTENANCE OF RADNET FIXED AIR MONITORS,GS10F0093K,68HE0D18F0928,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0D18F0928_6800_GS10F0093K_4730,542000.0,2020-03-03 14:31:19,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4730,FEDERAL ACQUISITION SERVICE,ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222013324,2021-05-31 00:00:00,2021-05-31 00:00:00,2018-06-12 00:00:00,ARLINGTON,71167910,S C & A INC,222015411,2020,22201,22201
263550,2020-09-17 00:00:00,2020,PRP SEARCH AND ENFORCEMENT SUPPORT SAN FERNANDO VALLEY AREA 4 POLLOCK OPERABLE UNIT SUPERFUND SITE OPTION YEAR 4,EPS91601,68HE0920F0051,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0920F0051_6800_EPS91601_6800,85390.16,2020-09-17 14:16:37,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2021-05-31 00:00:00,2021-05-31 00:00:00,2020-05-28 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
263962,2018-03-07 00:00:00,2018,IGF::CL::IGF PR-R5-17-00524: CHEM CENTRAL SUPERFUND SITE INITIAL UROC SUPPORT FUNDING FROM PIPELINE,EPS51508,5003,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_5003_6800_EPS51508_6800,23616.82,2018-03-07 07:26:08,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606043507,2020-09-29 00:00:00,2020-09-29 00:00:00,2018-03-07 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,60604,80228
266406,2018-09-25 00:00:00,2018,NR-IMD-STATS SUPPORT LAND BIRDS NETN,140P2118D0007,140P2118F0381,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2118F0381_1443_140P2118D0007_1443,44078.35,2018-09-25 16:20:16,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-12-31 00:00:00,2019-12-31 00:00:00,2018-09-25 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2018,80215,80215
267540,2020-07-30 00:00:00,2020,EMERGENCY RESPONSE ENFORCEMENT ABILITY TO PAY (ATP) AND FINANCIAL ASSURANCE (FA)OY4,EPS91601,68HE0920F0078,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0920F0078_6800_EPS91601_6800,99994.4,2020-07-30 19:32:40,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2021-06-30 00:00:00,2021-06-30 00:00:00,2020-07-30 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
268216,2019-04-16 00:00:00,2019,"THE PURPOSE OF THIS CONTRACT IS TO SUPPLY STATISTICAL TECHNICAL SUPPORT INCLUDING PROUCL USAGE SUPPORT AND PROUCL IT SUPPORT FOR THE SITE CHARACTERIZATION AND MONITORING TECHNICAL SUPPORT CENTER (SCMTSC) MANAGED THROUGH THE OFFICE OF RESEARCH AND DEVELOPMENT'S (ORD) OFFICE OF SCIENCE POLICY (OSP). THE SCMTSC PROVIDES TECHNICAL SUPPORT TO THE REGIONS AND OFFICE OF SOLID WASTE AND EMERGENCY RESPONSE (OSWER) FOR HAZARDOUS WASTE SITE CHARACTERIZATION AND MONITORING ISSUES, SPECIFICALLY SUPERFUND BUT ALSO BROWNFIELDS AND RCRA SITES. THE CONTRACTOR WILL ADDRESS THE NEEDS OF THE TSC FOR SITE CHARACTERIZATION AND MONITORING IN THEIR STATISTICAL SUPPORT, DATA ANALYSIS, AND PROUCL/STATISTICAL PROGRAMMING SUPPORT FOR THE EPA REGIONS, PROGRAM OFFICES AND ORD.     THIS CONTRACT WILL SUPPORT THE STATISTICAL NEEDS OF SUPERFUND SITE CHARACTERIZATION INCLUDING PROVIDING EXPERT TECHNICAL GUIDANCE FOR THE APPLICATION OF STATISTICAL METHODS AND MODELS, THE DEVELOPMENT AND REVIEW OF SITE SPECIFIC SAMPLING DESIGNS, DATA TREND ANALYSIS, AND THE MAINTENANCE/RESPONSE TO QUESTIONS AND UPDATES FOR THE PROUCL WEB PROGRAM. THE CONTRACTOR SHALL PROVIDE TECHNICAL QUALITY ASSURANCE AND STATISTICAL SUPPORT (INCLUDING DECISION QUALITY SUPPORT) TO SCMTSC AND OTHER ORD LABORATORIES OR CENTERS, OTHER PROGRAM OFFICES, OR REGIONS AS DESCRIBED IN WORK ASSIGNMENTS ISSUED BY THE CONTRACTING OFFICER (CO) IN THE FOLLOWING THREE SUPPORT AREAS:    * PROUCL TECHNICAL ASSISTANCE AND PROGRAM MAINTENANCE/UPDATES,   * SITE SPECIFIC TECHNICAL SUPPORT, AND  * NON-SITE SPECIFIC GENERAL STATISTICAL SUPPORT AND TECHNOLOGY TRANSFER.",68HERH19C0005,68HERH19C0005,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERH19C0005_6800_-NONE-_-NONE-,50000.0,2019-04-16 12:23:34,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2020-04-15 00:00:00,2024-04-15 00:00:00,2019-04-16 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,80215,80215
268945,2018-03-02 00:00:00,2018,CIF SUPPORT SERVICES LABOR,N0018916C0042,N0018916C0042,DEFINITIVE CONTRACT,D,97,DEPARTMENT OF DEFENSE (DOD),N00189,NAVSUP FLT LOG CTR NORFOLK,1700,DEPT OF THE NAVY,CONT_AWD_N0018916C0042_9700_-NONE-_-NONE-,1564148.0,2018-03-02 15:37:44,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",1,1700,DEPARTMENT OF DEFENSE (DOD),PORT HUENEME,26.0,USA,UNITED STATES,VENTURA,CALIFORNIA,CA,930411107,2019-03-21 00:00:00,2021-03-21 00:00:00,2018-03-02 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2018,93041,74015
269010,2018-09-28 00:00:00,2018,AN INTEGRATED STORMWATER MANAGEMENT APPROACH FOR PROMOTING URBAN COMMUNITY SUSTAINABILITY AND RESILIENCE,68HE0118A0003,68HE0118F0011,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE01,REGION 1 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0118F0011_6800_68HE0118A0003_6800,299750.0,2018-09-28 08:41:55,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,BOSTON,8.0,USA,UNITED STATES,SUFFOLK,MASSACHUSETTS,MA,021093912,2019-09-27 00:00:00,2019-09-27 00:00:00,2018-09-28 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2018,02109,49686
269716,2020-06-10 00:00:00,2020,"ENVIRONMENTAL INDICATOR TECHNICAL SUPPORT: THE PURPOSE OF THIS TASK ORDER IS TO SUPPORT EPA REGION 2 TOWARDS ACHIEVING THE GOALS SET FORTH FOR THE RESOURCE CONSERVATION AND RECOVERY ACT (RCRA), GOVERNMENT PERFORMANCE AND RESULTS ACT (GPRA) PERFORMANC",68HERH19D0018,68HE0220F0035,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE02,REGION 2 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0220F0035_6800_68HERH19D0018_6800,40989.06,2020-06-10 13:52:34,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,NEW YORK,7.0,USA,UNITED STATES,NEW YORK,NEW YORK,NY,100071616,2021-06-14 00:00:00,2021-06-14 00:00:00,2020-06-10 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,10007,80228
269961,2020-04-16 00:00:00,2020,TASK 3:  TRAINING AND DEVELOPMENT SERVIC,W9124J18D0009,W9124J20F0041,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),W9124J,W6QM MICC-FDO FT SAM HOUSTON,2100,DEPT OF THE ARMY,CONT_AWD_W9124J20F0041_9700_W9124J18D0009_9700,294997.36,2020-04-16 09:53:30,541618,OTHER MANAGEMENT CONSULTING SERVICES,1,9700,DEPT OF DEFENSE,CATOOSA,1.0,USA,UNITED STATES,ROGERS,OKLAHOMA,OK,740153235,2021-04-14 00:00:00,2021-04-14 00:00:00,2020-04-15 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2020,74015,74015
271446,2020-05-29 00:00:00,2020,PRP SEARCH AND ENFORCEMENT SUPPORT SOUTH INDIAN BEND WASH SUPERFUND SITE OPTION YEAR 4,EPS91601,68HE0920F0057,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0920F0057_6800_EPS91601_6800,199953.62,2020-05-29 18:49:53,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2021-05-31 00:00:00,2021-05-31 00:00:00,2020-05-29 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
271550,2020-05-29 00:00:00,2020,PRP SEARCH AND ENFORCEMENT SUPPORT ORANGE COUNTY SUPERFUND SITE OPTION YEAR 4,EPS91601,68HE0920F0056,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0920F0056_6800_EPS91601_6800,200000.0,2020-05-29 18:06:14,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2021-05-31 00:00:00,2021-05-31 00:00:00,2020-05-29 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
272049,2020-07-29 00:00:00,2020,"LABORATORY AUDITING SERVICES, EM MA LAB EXTERNAL AUDITS",ING17PC00081,140G0220F0242,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140G02,OFC OF ACQUISITION&GRANTS-DENVER,1434,US GEOLOGICAL SURVEY,CONT_AWD_140G0220F0242_1434_ING17PC00081_1434,8308.58,2020-07-29 09:19:44,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",1,1434,US GEOLOGICAL SURVEY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2020-12-31 00:00:00,2020-12-31 00:00:00,2020-07-29 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
272387,2020-08-25 00:00:00,2020,SHORELINE CLEANUP ASSESSMENT TECHNIQUE (SCAT),DOCAB133C18BA0018,1305M318FNCNR0109,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_1305M318FNCNR0109_1330_DOCAB133C18BA0018_1330,206272.0,2021-01-22 17:58:43,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2021-09-30 00:00:00,2023-08-29 00:00:00,2018-08-27 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2020,29201,29201
273551,2020-06-09 00:00:00,2020,OBTAIN TECHNICAL BASIS FOR GUIDANCE ON SURVEYS FOR SUBSURFACE CONTAMINANTS.,47QRAA20D002W,31310020F0061,DELIVERY ORDER,C,31,NUCLEAR REGULATORY COMMISSION (NRC),313100,NUCLEAR REGULATORY COMMISSION,3100,NUCLEAR REGULATORY COMMISSION,CONT_AWD_31310020F0061_3100_47QRAA20D002W_4732,93993.0,2020-06-09 14:02:09,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4732,FEDERAL ACQUISITION SERVICE,ROCKVILLE,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208522746,2021-09-30 00:00:00,2022-09-30 00:00:00,2020-06-09 00:00:00,ARLINGTON,71167910,S C & A INC,222015411,2020,20852,22201
273923,2018-03-08 00:00:00,2018,TASK ORDER 35 ADDITIONAL FUNDING - HURRICANE MARIA SUPPORT,DOCAB133C12CQ0039,DOCT0035,DELIVERY ORDER,C,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_DOCT0035_1330_DOCAB133C12CQ0039_1330,249951.72,2018-03-08 14:02:34,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,SEATTLE,7.0,USA,UNITED STATES,KING,WASHINGTON,WA,981157164,2018-03-30 00:00:00,2018-03-30 00:00:00,2018-03-08 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2018,98115,29201
274444,2020-01-22 00:00:00,2020,HURRICANE DORIAN RESPONSE INCIDENT SUPPORT SERVICES,DOCAB133C18BA0018,1305M320FNCNR0012,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_1305M320FNCNR0012_1330_DOCAB133C18BA0018_1330,4001.2,2021-01-22 17:58:43,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2020-01-22 00:00:00,2020-01-22 00:00:00,2020-01-22 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2020,29201,29201
274464,2018-07-20 00:00:00,2018,"GROUNDWATER MONITORING WELL INSTALLATION AND SAMPLING AND ANALYSIS SUPPORT: OFF-SITE/CROSBY-MCKISSICK FACILITY, TULSA, OK IGF::CL,CT::IGF REPA 5 ZONE 2 (REGIONS 4, 5, AND 6)  MODIFICATION P00008 - THIS MODIFICATION DE-OBLIGATES IN THE AMOUNT OF $6,923.00.  THERE ARE NO OTHER CHANGES.  MOD P00007 - CORRECTION MOD TO ADD LINES OF ACCOUNTING THAT DE-OBLIGATED FUNDS UNDER P00006  MOD P00006 - THIS MODIFICATION DE-OBLIGATES FUNDS FROM THE TASK ORDER IN THE AMOUNT OF $36,201.00.",EPW12032,6639,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0S,SF PROC OPS DIVISION (SRRPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_6639_6800_EPW12032_6800,-6923.0,2018-07-20 12:10:39,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2018-11-15 00:00:00,2018-11-15 00:00:00,2018-07-20 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,80228,80228
274648,2018-07-19 00:00:00,2018,IGF::CL::IGF NATIONAL AQUATIC RESOURCE SURVEYS: MICROCYSTINS AND CYLINDROSPERMOPSIN IMMUNOASSAYS,EPC16008,0004,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0004_6800_EPC16008_6800,163300.0,2018-07-19 10:30:50,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2021-05-30 00:00:00,2021-05-30 00:00:00,2018-07-19 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2018,49686,49686
274972,2018-05-14 00:00:00,2018,IGF::OT::IGF - WEST VALLEY DEMONSTRATION PROJECT PROBABILISTIC PERFORMANCE ASSESSMENT,DEEM0003897,DEEM0003897,DEFINITIVE CONTRACT,D,89,DEPARTMENT OF ENERGY (DOE),893033,EM-ENVIRONMENTAL MGMT CON BUS CTR,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_DEEM0003897_8900_-NONE-_-NONE-,459507.0,2018-05-14 10:30:17,541620,ENVIRONMENTAL CONSULTING SERVICES,1,8900,DEPARTMENT OF ENERGY (DOE),LAKEWOOD,1.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802262426,2020-09-27 00:00:00,2020-09-27 00:00:00,2018-05-14 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2018,80226,80215
